IncidentID,num_vehicles_involved,eCollisionManner,Longitude,Latitude,InjurySeverity,eIntersectionType,eCollisionManner,city_name,IncidentDateTime,cyclist_citations,driver_citations,nearest_count_site,distance_to_nearest_count_site
2274649,2,SIDESWIPE_SAME_DIRECTION,-111.939594057709,33.3928534882756,1,FOUR_WAY_INTERSECTION,SIDESWIPE_SAME_DIRECTION,TEMPE,"2009/01/25 11:05:00",NO_IMPROPER_ACTION,FAILED_TO_YIELD_RIGHT_OF_WAY_103,144,9.53522014035226E-05
2440262,2,ANGLE_FRONT_TO_SIDE,-111.92610886645,33.4128800589384,1,T_INTERSECTION,ANGLE_FRONT_TO_SIDE,TEMPE,"2010/08/26 15:16:00",OTHER_97,NO_IMPROPER_ACTION,136,9.57805768329256E-05
2281413,2,ANGLE_FRONT_TO_SIDE,-111.926193985345,33.4002319897918,3,FOUR_WAY_INTERSECTION,ANGLE_FRONT_TO_SIDE,TEMPE,"2009/03/20 16:33:00",FAILED_TO_YIELD_RIGHT_OF_WAY_103,NO_IMPROPER_ACTION,129,9.70024349611678E-05
2570290,2,ANGLE_FRONT_TO_SIDE,-111.909112823783,33.4073343417524,3,FOUR_WAY_INTERSECTION,ANGLE_FRONT_TO_SIDE,TEMPE,"2011/09/05 11:26:00",OTHER_97,NO_IMPROPER_ACTION,159,9.88299866784036E-05
2470711,2,ANGLE_FRONT_TO_SIDE,-111.926275146015,33.4127815589196,1,FOUR_WAY_INTERSECTION,ANGLE_FRONT_TO_SIDE,TEMPE,"2010/11/29 12:20:00",NO_IMPROPER_ACTION,DISREGARDED_TRAFFIC_SIGNAL,136,9.98813211414612E-05
2331370,2,ANGLE_FRONT_TO_SIDE,-111.917605931265,33.4147844759706,3,T_INTERSECTION,ANGLE_FRONT_TO_SIDE,TEMPE,"2009/08/10 09:43:00",DISREGARDED_TRAFFIC_SIGNAL,NO_IMPROPER_ACTION,132,0.0001001748682
2566573,2,ANGLE_FRONT_TO_SIDE,-111.926142577614,33.4168291108955,3,NOT_AT_INTERSECTION_0,ANGLE_FRONT_TO_SIDE,TEMPE,"2011/08/15 13:28:00",NO_IMPROPER_ACTION,FAILED_TO_YIELD_RIGHT_OF_WAY_103,135,0.00010072876258
2608308,2,ANGLE_FRONT_TO_SIDE,-111.928537540389,33.3565259045475,4,UNKNOWN_99,ANGLE_FRONT_TO_SIDE,TEMPE,"2012/03/01 16:28:00",NO_IMPROPER_ACTION,DISREGARDED_TRAFFIC_SIGNAL,123,0.0001041245068
2245438,2,ANGLE_FRONT_TO_SIDE,-111.926290404946,33.4128940489221,4,FOUR_WAY_INTERSECTION,ANGLE_FRONT_TO_SIDE,TEMPE,"2009/01/29 16:56:00",UNKNOWN_99,UNKNOWN_99,136,0.00010461582483
2352807,2,ANGLE_FRONT_TO_SIDE,-111.926290404946,33.4128940489221,2,FOUR_WAY_INTERSECTION,ANGLE_FRONT_TO_SIDE,TEMPE,"2009/10/22 00:11:00",NO_IMPROPER_ACTION,FAILED_TO_YIELD_RIGHT_OF_WAY_103,136,0.00010461582483
2340816,2,ANGLE_FRONT_TO_SIDE,-111.939226667716,33.3782317216182,2,FOUR_WAY_INTERSECTION,ANGLE_FRONT_TO_SIDE,TEMPE,"2009/09/06 19:41:00",NO_IMPROPER_ACTION,INATTENTION_DISTRACTION,147,0.00011151901437
