Location ID,Time,Recorder,Rec Count,Page,Segment,Direction,Count,Gender ,Age_Y,Age_O,Helmet,Wrong way,Sidewalk,Distracted,Pedestrian,Notes,Construction
105,PM,Ryan Guzy,6,1,2,1,,,,,,,,,2,,
105,PM,Ryan Guzy,6,1,2,2,,,,,,,,,,,
105,PM,Ryan Guzy,6,1,2,3,,,,,,,,,2,,
105,PM,Ryan Guzy,6,1,2,4,,,,,,,,,,,
105,PM,Ryan Guzy,6,1,3,1,,,,,,,,,1,,
105,PM,Ryan Guzy,6,1,3,2,3,,,,1,1,1,,3,,
105,PM,Ryan Guzy,6,1,3,3,,,,,,,,,,,
105,PM,Ryan Guzy,6,1,3,4,,,,,,,,,,,
105,PM,Ryan Guzy,6,1,4,1,,,,,,,,,1,,
105,PM,Ryan Guzy,6,1,4,2,1,,,,,,,,,,
105,PM,Ryan Guzy,6,1,4,3,1,,,,1,,,,,,
105,PM,Ryan Guzy,6,1,4,4,,,,,,,,,,,
105,PM,Ryan Guzy,6,2,1,1,2,1,,,,,,,,,
105,PM,Ryan Guzy,6,2,1,2,,,,,,,,,,,
105,PM,Ryan Guzy,6,2,1,3,,,,,,,,,,,
105,PM,Ryan Guzy,6,2,1,4,,,,,,,,,,,
105,PM,Ryan Guzy,6,2,2,1,2,1,,,,,,,2,,
105,PM,Ryan Guzy,6,2,2,2,1,1,,,,,,,1,,
105,PM,Ryan Guzy,6,2,2,3,,,,,,,,,,,
105,PM,Ryan Guzy,6,2,2,4,,,,,,,,,,,
105,PM,Ryan Guzy,6,2,3,1,2,1,,,1,,,,1,,
105,PM,Ryan Guzy,6,2,3,2,,,,,,,,,3,,
105,PM,Ryan Guzy,6,2,3,3,1,,,,1,,,,,,
105,PM,Ryan Guzy,6,2,3,4,,,,,,,,,2,,
105,PM,Ryan Guzy,6,2,4,1,,,,,,,,,3,,
105,PM,Ryan Guzy,6,2,4,2,2,2,,,,,,,,,
105,PM,Ryan Guzy,6,2,4,3,3,,,,3,,,,,,
105,PM,Ryan Guzy,6,2,4,4,1,1,,,,,,,1,,
