LocID,LocEW,LocNS,Cordon,NB_ASU_in,SB_ASU_in,EB_ASU_in,WB_ASU_in,NBLane,SBLane,EBLane,WBLane,NBZip,SBZip,Zone,DistASU,Traffic,TrafficNS,TrafficEW,Latitude,Longitude,NBswSkip,SBswSkip,EBswSkip,WBswSkip,LocNameShort,LocEWshort,LocNSshort,Node1,Node2,Node3,Node4
153,Apache Blvd,McAllister Ave,1,1,,,,3,3,3,3,,,,0,21727,2065,21727,33.414678,-111.930599,,,,,Apache & McAllister,Apache,McAllister,48,47,,
154,Terrace Rd,Rural Rd,1,,,,1,0,0,4,3,,,,0,38694,38694,NA,33.42018,-111.92627,,,,,Terrace & Rural,Terrace,Rural,46,,,
155,University Dr,McClintock Dr,0,,,,,0,0,3,3,1,1,,1,38426,32685,38426,33.422,-111.9091,,,,,Univ & McClntk,Univ,McClntk,30,40,31,32
156,Crosscut Canal,Mill Ave,0,,,,,3,3,4,-1,,,,0.7,16813,16813,0,33.438908,-111.943848,1,1,,,Crosscut & Mill,Crosscut,Mill,11,17,,
157,Curry Rd,College Ave,0,,,,,3,3,3,3,,,,1.1,19056,7003,19056,33.440289,-111.930861,,,,,Curry & College,Curry,College,9,5,10,
158,Washington St,Priest Dr,0,,,,,3,3,3,3,,,,1.5,25458,25458,12111,33.4426,-111.9566,,,,,Wash & Priest,Wash,Priest,12,15,13,14
159,Broadway Rd,McClintock Dr,0,,,,,3,3,0,0,,,,1.5,30881,30881,30221,33.407433,-111.909107,,,,,Bway & McClntk,Bway,McClntk,65,71,63,64
160,Broadway Rd,Hardy Dr,0,,,,,3,3,0,0,,,,1.3,31510,13042,31510,33.407397,-111.952164,,,,,Bway & Hardy,Bway,Hardy,79,50,56,
161,University Dr,Price Rd,0,,,,,0,0,3,3,,,,2,38426,11371,38426,33.422013,-111.891954,,,,,Univ & Price,Univ,Price,41,42,29,30
162,Broadway Rd,Roosevelt St,0,,,,,3,3,0,0,,,,1.1,31510,5003,31510,33.40738,-111.94783,,,,,Bway & Rsvlt,Bway,Rsvlt,78,57,56,
163,University Dr,Farmer Ave,0,,,,,3,3,3,3,,,,0.2,32345,NA,32345,33.421894,-111.944266,,,,,Univ & Farmer,Univ,Farmer,37,,,
164,Southern Ave,McClintock Dr,0,,,,,3,3,0,0,,,,2.5,35624,35624,29387,33.39295,-111.90912,,,,,So & McClntk,So,McClntk,70,92,71,73
165,University Dr,Priest Dr,0,,,,,3,1,3,3,,,,1.2,35090,35090,32345,33.421936,-111.960908,,,,,Univ & Priest,Univ,Priest,37,52,21,36
166,8th St,Dorsey Ln,0,,,,,2,1,3,3,,,,0.5,NA,NA,NA,33.41941,-111.917692,,,,,8th & Dorsey,8th,Dorsey,,,,
167,Town Lake Path S,Priest Dr,0,,,,,0,0,0,4,,,,2,38486,38486,NA,33.43343,-111.961085,,,,,TownLakeS & Priest,TownLakeS,Priest,155,,,
168,Baseline Rd,Priest Dr,0,,,,,3,3,0,0,,,,3.9,53578,24694,53578,33.3783,-111.96315,,,,,Baseline & Priest,Baseline,Priest,106,109,88,107
169,Baseline Rd,Kyrene Rd,0,,,,,3,4,0,0,,,,3.1,34793,22883,34793,33.3782,-111.946,,,,,Baseline & Kyrene,Baseline,Kyrene,111,103,104,
170,Knox Rd,Priest Dr,0,,,,,0,0,0,0,,,,7.9,28027,28027,NA,33.32725,-111.9631,,,,,Knox & Priest,Knox,Priest,145,,,
171,Knox Rd,Lakeshore Dr,0,,,,,-1,2,2,0,,,,6.6,NA,NA,NA,33.32755,-111.91895,,,,,Knox & Lakeshore,Knox,Lakeshore,,,,
172,Alameda Dr,College Ave,0,,,,,3,3,2,2,,,,1,4728,4728,1994,33.4002,-111.9349,,,,,Alameda & College,Alameda,College,76,75,,
173,Apache Blvd,McClintock Dr,0,,,,,0,0,3,3,,,,1,31878,31878,16891,33.4148,-111.9091,,,,,Apache & McClntk,Apache,McClntk,44,64,40,45
174,Baseline Rd,McClintock Dr,0,,,,,3,3,0,0,,,,3.5,34964,34964,34657,33.3784,-111.9092,,,,,Baseline & McClntk,Baseline,McClntk,95,118,96,97
175,Guadalupe Rd,McClintock Dr,0,,,,,3,3,3,3,,,,4.5,29155,29155,24378,33.3638,-111.9112,,,,,Guad & McClntk,Guad,McClntk,120,128,118,121
176,Warner Rd,McClintock Dr,0,,,,,3,3,3,3,,,,5.5,33701,22447,33701,33.33465,-111.91115,,,,,Warner & McClntk,Warner,McClntk,140,148,138,141
177,La Vieve Ln,McClintock Dr,0,,,,,3,3,2,2,,,,6.8,34964,34964,NA,33.3315,-111.91115,,,,,LaVieve & McClntk,LaVieve,McClntk,96,,,
178,Curry Rd,Scottsdale Rd,0,,,,,0,0,1,1,,,,1,44461,44461,17024,33.4403,-111.92632,,,,,Curry & Scottsdale,Curry,Scottsdale,8,18,6,9
