"Location ID",Time,Recorder,"Rec Count",Page,Segment,Direction,Count,"Gender ",Age_Y,Age_O,Helmet,"Wrong way",Sidewalk,Distracted,Pedestrian,Motoroized,Electric,Decor/Lights,"ADA Peds","ADA Chairs",Notes,Construction,LocRank,LocRankUniq,Seg,Seg1,LocTime,LocTimeDir,,"Gender ",Age_Y,Age_O,Helmet,"Wrong way",Sidewalk,Distracted,,"Cordon in","Cordon out","Bike Lane Size","Bike Lane"
104,PM,"James Purkhiser",4,1,2,4,3,,,,1,,,,1,,,,,,,,4,,10,104_10,104PM,104PMEW,,,,,,,,,,0,0,0,0
104,PM,"James Purkhiser",4,1,3,1,2,1,,,,1,2,1,3,,,,,,,,4,,11,104_11,104PM,104PMNS,,,,,,,,,,0,0,0,0
104,PM,"James Purkhiser",4,1,3,2,1,,,,,,1,,2,,,,,,,,4,,11,104_11,104PM,104PMNS,,,,,,,,,,0,0,0,0
104,PM,"James Purkhiser",4,1,3,3,,,,,,,,,,,,,,,,,4,,11,104_11,104PM,104PMEW,,,,,,,,,,0,0,0,0
104,PM,"James Purkhiser",4,1,3,4,4,1,,,1,2,2,3,,,,,,,,,4,,11,104_11,104PM,104PMEW,,,,,,,,,,0,0,0,0
104,PM,"James Purkhiser",4,1,4,1,7,1,,,1,3,7,1,,,,,,,,,4,,12,104_12,104PM,104PMNS,,,,,,,,,,0,0,0,0
104,PM,"James Purkhiser",4,1,4,2,4,,,1,1,,2,,2,,,,,,,,4,,12,104_12,104PM,104PMNS,,,,,,,,,,0,0,0,0
104,PM,"James Purkhiser",4,1,4,3,1,,,,1,,,,,,,,,,,,4,,12,104_12,104PM,104PMEW,,,,,,,,,,0,0,0,0
104,PM,"James Purkhiser",4,1,4,4,3,,,,2,,1,1,,,,,,,,,4,,12,104_12,104PM,104PMEW,,,,,,,,,,0,0,0,0
104,PM,"James Purkhiser",4,1,,,,,,,,,,,,,1,4,,,,,4,,,,104PM,,,,,,,,,,,0,0,0,0
104,PM,"James Purkhiser",4,2,1,1,,,,,,,,,,,,,,,,,4,,13,104_13,104PM,104PMNS,,,,,,,,,,0,0,0,0
104,PM,"James Purkhiser",4,2,1,2,2,,,,,1,2,1,2,,,,,,,,4,,13,104_13,104PM,104PMNS,,,,,,,,,,0,0,0,0
104,PM,"James Purkhiser",4,2,1,3,1,1,,,1,,,,,,,,,,,,4,,13,104_13,104PM,104PMEW,,,,,,,,,,0,0,0,0
104,PM,"James Purkhiser",4,2,1,4,1,,,,,,,1,1,,,,,,,,4,,13,104_13,104PM,104PMEW,,,,,,,,,,0,0,0,0
104,PM,"James Purkhiser",4,2,2,1,2,,,,,,2,,2,,,,,,,,4,,14,104_14,104PM,104PMNS,,,,,,,,,,0,0,0,0
104,PM,"James Purkhiser",4,2,2,2,4,,,,2,,3,2,1,,,,,,,,4,,14,104_14,104PM,104PMNS,,,,,,,,,,0,0,0,0
104,PM,"James Purkhiser",4,2,2,3,1,,,,1,,,,,,,,,,,,4,,14,104_14,104PM,104PMEW,,,,,,,,,,0,0,0,0
